global_index,turn_id,dialogue_id,turn_index,conversation_id,persuader_turn_index,n_turns_in_dialogue,annotator,strategies,categories,n_labels,flags,note,text
3190,20180826-220528_999_live#t000,20180826-220528_999_live,0,20180826-220528_999_live,0,20,shovon,personal_related_inquiry,Relational and Interactive,1,,CoT: Asks for opinions on charities.,How do you feel about childrens charities? Do you feel like they do good work and are important to society?
3191,20180826-220528_999_live#t002,20180826-220528_999_live,2,20180826-220528_999_live,1,20,shovon,rapport_building|personal_story|emotion_appeal|source_related_inquiry,Emotional Appeal|Relational and Interactive,4,,CoT: 'I totally agree' (rapport). 'I have a young child' (story). 'children starving or suffering' (emotion). Asks about STC (inquiry).,I totally agree - I have a young child and when I see images of children starving or suffering it really makes me want to help out however I can. I can't imagine living in a place where I had to worry about my child dying from hunger or human rights abuses. I think the work that charities can do is so important. Especially when it is a legitimate charity that is dedicated to doing better. Have you heard about the charity Save the children?
3192,20180826-220528_999_live#t004,20180826-220528_999_live,4,20180826-220528_999_live,2,20,shovon,hope_and_positive_impact|minimization_framing|personal_related_inquiry,Emotional Appeal|Framing and Presentation|Relational and Interactive,3,,CoT: 'enrich the lives' (impact). 'skipping a cup of morning coffee' (minimization). Asks question (inquiry).,"It is always shocking to me how far charities can make money go to help enrich the lives of children. You would not think that something as simple as skipping a cup of morning coffee to donate to a charity would be able to make such a huge impact in the life of a child, but it really does. I think that if more people realized how giving up a little in our lives could save the life of a child that more people would participate in charity. Do you think that is true?"
3193,20180826-220528_999_live#t006,20180826-220528_999_live,6,20180826-220528_999_live,3,20,shovon,rapport_building|organizational_credibility|personal_related_inquiry,Credibility Appeal|Relational and Interactive,3,,CoT: 'I agree' (rapport). 'verifiable credentials' (credibility). Asks question (inquiry).,I agree. It is so important to do your research when deciding to support a charity. It is sad that there are charities that pop up that end up using more of the funds for their own needs rather than a legitimate one like Save the children that has verifiable credentials and obvious international impact. Do you think charities should be more transparent about how they will be using the funds?
3194,20180826-220528_999_live#t008,20180826-220528_999_live,8,20180826-220528_999_live,4,20,shovon,rapport_building|self_modeling|personal_related_inquiry,Social Influence|Relational and Interactive,3,,CoT: 'I agree' (rapport). 'donation I am making' (self-modeling). Asks about moral obligation (inquiry).,I agree. I prefer to know that the donation I am making big or small is actually going to be going to a trustable fund. Do you think that people who have the ability to help have a moral obligation to do so?
3195,20180826-220528_999_live#t010,20180826-220528_999_live,10,20180826-220528_999_live,5,20,shovon,rapport_building|personal_related_inquiry,Relational and Interactive,2,,CoT: Validates (rapport). Asks question (inquiry).,I think looking at the big picture is a good way to see it. I believe that most people would make a choice to help with what they could without any sense of guilt or obligation. I think most people would help just to help. Do you think people are fundamentally eager to help with what they can like that?
3196,20180826-220528_999_live#t012,20180826-220528_999_live,12,20180826-220528_999_live,6,20,shovon,rapport_building|personal_related_inquiry,Relational and Interactive,2,,CoT: Validates (rapport). Asks question (inquiry).,"I think that would be a more effective message sometimes. Some people may think that they need to be wealthy in order to contribute, that their $5 donation could not possibly do anything to help. Do you think people would be more likely to donate if they say the impact very small donations could have? Or do you think that people would feel like microdonations would not be effective no matter what?"
3197,20180826-220528_999_live#t014,20180826-220528_999_live,14,20180826-220528_999_live,7,20,shovon,personal_related_inquiry,Relational and Interactive,1,,CoT: Asks about rounding up change (inquiry).,"I think a lot of people who do not have an extra $100 would still be willing to donate a small amount to a charity like save the children, if they had an easy way to do it. At the grocery store sometimes they will ask if I want to round up to the nearest dollar amount and donate that increase in change to charity. Do you think most people say yes to this? Or they would usually say maybe next time"
3198,20180826-220528_999_live#t016,20180826-220528_999_live,16,20180826-220528_999_live,8,20,shovon,donation_procedure_information|task_clarification,Information Provision,2,,CoT: Explains donation from task. Asks for donation.,This chat allows you to donate some of your task payment to Save the children. The research team collects all the donations people elect to give and send them to save the children to help support the work that they do globally.  Do you think that you would elect to give some of your task payment?
3199,20180826-220528_999_live#t018,20180826-220528_999_live,18,20180826-220528_999_live,9,20,shovon,rapport_building|task_clarification|donation_procedure_information,Information Provision|Relational and Interactive,3,,CoT: 'That is amazing... enjoyed your opinions' (rapport). 'How much... do you want to donate now?' (clarification). 'choose any amount from $0 to all' (procedure).,"That is amazing. To be honest, I have really enjoyed your opinions on charitable giving like this. How much of your task payment do you want to donate now? You can choose any amount from $0 to all"
3200,20180826-175705_624_live#t000,20180826-175705_624_live,0,20180826-175705_624_live,0,20,shovon,rapport_building|source_related_inquiry,Relational and Interactive,2,,CoT: Greeting. Asks about STC.,"hello, do you know about the charity save the children?"
3201,20180826-175705_624_live#t002,20180826-175705_624_live,2,20180826-175705_624_live,1,20,shovon,task_clarification,Information Provision,1,,CoT: Asks if they want info.,do you want some info?
3202,20180826-175705_624_live#t004,20180826-175705_624_live,4,20180826-175705_624_live,2,20,shovon,organization_information|hope_and_positive_impact,Emotional Appeal|Information Provision,2,,CoT: Explains STC (org info). 'help the children' (impact).,save the children is a non-profit organization that help the children all around the world.
3203,20180826-175705_624_live#t006,20180826-175705_624_live,6,20180826-175705_624_live,3,20,shovon,organization_information|hope_and_positive_impact,Emotional Appeal|Information Provision,2,,"CoT: 'collect charities' (org info). 'schooling them , feeding them, curing them.' (impact).","they collect charities and help the children by schooling them , feeding them, curing them."
3204,20180826-175705_624_live#t008,20180826-175705_624_live,8,20180826-175705_624_live,4,20,shovon,task_clarification,Information Provision,1,,CoT: Asks if they want to help.,"you can help by being part of us, do you want to help?"
3205,20180826-175705_624_live#t010,20180826-175705_624_live,10,20180826-175705_624_live,5,20,shovon,rapport_building|donation_procedure_information|task_clarification,Information Provision|Relational and Interactive,3,,CoT: 'cool' (rapport). 'give some amount of your bonus' (procedure). 're you interested?' (clarification).,"cool, you just have to agree to give some amount of your bonus, you can give how much you want. re you interested?"
3206,20180826-175705_624_live#t012,20180826-175705_624_live,12,20180826-175705_624_live,6,20,shovon,rapport_building|hope_and_positive_impact,Emotional Appeal|Relational and Interactive,2,,CoT: 'you are a very kind person' (rapport). 'help a child being feed today?' (impact).,"cool, you are a very kind person, you know that you can help a child being feed today?"
3207,20180826-175705_624_live#t014,20180826-175705_624_live,14,20180826-175705_624_live,7,20,shovon,organization_information|hope_and_positive_impact,Emotional Appeal|Information Provision,2,,CoT: 'feed the children' (impact). 'helpin Hawaii with the hurricane' (org info).,"they feed the children where is a child in difficulties , they now are helpin Hawaii with the hurricane"
3208,20180826-175705_624_live#t016,20180826-175705_624_live,16,20180826-175705_624_live,8,20,shovon,donation_procedure_information,Information Provision,1,,CoT: Mentions applying for a job (info).,"for the moment donating is good, but if you really are interested you can apply for a job in our organization."
3209,20180826-175705_624_live#t018,20180826-175705_624_live,18,20180826-175705_624_live,9,20,shovon,self_modeling|gratitude_and_appreciation,Social Influence|Reciprocity and Exchange,2,,CoT: 'im helping finding people donating' (self modeling). 'thank you for the donation' (gratitude).,"i help with everything they say to me, now im helping finding people donating, thank you for the donation today, god bless you."
3210,20180826-054028_444_live#t000,20180826-054028_444_live,0,20180826-054028_444_live,0,20,shovon,rapport_building|personal_related_inquiry,Relational and Interactive,2,,CoT: Greeting. 'How are you today?'.,Good Morning! How are you today?
3211,20180826-054028_444_live#t002,20180826-054028_444_live,2,20180826-054028_444_live,1,20,shovon,rapport_building|personal_related_inquiry,Relational and Interactive,2,,CoT: Small talk. 'What are your plans today?'.,"Oh, that sounds nice. I am well. It looks nice here today as well. What are your plans today?"
3212,20180826-054028_444_live#t004,20180826-054028_444_live,4,20180826-054028_444_live,2,20,shovon,self_modeling|hope_and_positive_impact|emotion_appeal|task_clarification,Emotional Appeal|Social Influence|Information Provision,4,,CoT: 'reading about the charity myself' (self modeling). 'helps kids in need' (impact). 'hate to think a child would die' (emotion). 'Can you donate part of today's pay?' (task clarification).,"Yes, I was just reading about the charity myself. I was going to make a plea and ask if you would be willing to donate to Save the Children. It helps kids in need. I would hate to think a child would die with no food when I could ask people to help. Can you donate part of today's pay? Even a bit?"
3213,20180826-054028_444_live#t006,20180826-054028_444_live,6,20180826-054028_444_live,3,20,shovon,rapport_building|task_clarification|donation_procedure_information|gratitude_and_appreciation,Reciprocity and Exchange|Information Provision|Relational and Interactive,4,,"CoT: 'Yes, I agree' (rapport). 'How much... can you give?' (clarification). 'include the $ sign' (procedure). 'Thank you!' (gratitude).","Yes, I agree, it is sad. That is great that you can help! How much of today's pay can you give? Also, please include the $ sign with your pledge. Thank you!"
3214,20180826-054028_444_live#t008,20180826-054028_444_live,8,20180826-054028_444_live,4,20,shovon,self_modeling|donation_procedure_information|rapport_building,Social Influence|Information Provision|Relational and Interactive,3,,"CoT: 'would love to help as well' (self modeling). 'pledge with the $ sign' (procedure). 'agree, the gov't should do more' (rapport).","I would love to help as well. Can you pledge with the $ sign in your next reply. Also, I agree, the gov't should do more. And thanks for asking me too."
3215,20180826-054028_444_live#t010,20180826-054028_444_live,10,20180826-054028_444_live,5,20,shovon,rapport_building|self_modeling,Social Influence|Relational and Interactive,2,,CoT: 'wonderful idea' (rapport). 'If you are willing to give then I will too!' (self modeling).,I would say that is a wonderful idea. If you are willing to give then I will too!
3216,20180826-054028_444_live#t012,20180826-054028_444_live,12,20180826-054028_444_live,6,20,shovon,rapport_building|emotion_appeal|source_related_inquiry,Emotional Appeal|Relational and Interactive,3,,CoT: Answers question (rapport). 'watch any child suffer' (emotion). Asks about STC website (inquiry).,"Yes, I do. I could not imagine having to watch any child suffer, much less my own. Have you visited the Save the Children website?"
3217,20180826-054028_444_live#t014,20180826-054028_444_live,14,20180826-054028_444_live,7,20,shovon,self_modeling|personal_related_inquiry,Social Influence|Relational and Interactive,2,,CoT: 'looked at the site' (self modeling). 'heard about the recent storms' (inquiry).,I looked at the site. Have you heard about the recent storms/flooding in Hawaii?
3218,20180826-054028_444_live#t016,20180826-054028_444_live,16,20180826-054028_444_live,8,20,shovon,organization_information|organizational_credibility|rapport_building,Credibility Appeal|Information Provision|Relational and Interactive,3,,CoT: 'STC is already to help' (org info). 'amazed by their swift response' (credibility). 'Isn't it really great!' (rapport).,"Well, it looks like the STC is already to help the children there. I am amazed by their swift response. Isn't it really great!"
3219,20180826-054028_444_live#t018,20180826-054028_444_live,18,20180826-054028_444_live,9,20,shovon,rapport_building|gratitude_and_appreciation|hope_and_positive_impact|task_clarification,Emotional Appeal|Reciprocity and Exchange|Information Provision|Relational and Interactive,4,,"CoT: 'Yes, I am sure that is it' (rapport). 'thank you again' (gratitude). 'go to great use' (impact). 'any questions?' (clarification).","Yes, I am sure that is it. I have to thank you again for your $1 donation. It will go to great use I am sure. Do you have any questions about the charity?"
3220,20180826-062755_702_live#t000,20180826-062755_702_live,0,20180826-062755_702_live,0,20,shovon,rapport_building|personal_related_inquiry,Relational and Interactive,2,,CoT: Greeting.,Hi! How are you toad?
3221,20180826-062755_702_live#t002,20180826-062755_702_live,2,20180826-062755_702_live,1,20,shovon,rapport_building|personal_related_inquiry,Relational and Interactive,2,,CoT: Answers question (rapport). Asks about weather (inquiry).,I am well. How is the weather by you?
3222,20180826-062755_702_live#t004,20180826-062755_702_live,4,20180826-062755_702_live,2,20,shovon,rapport_building|personal_related_inquiry,Relational and Interactive,2,,CoT: Responds about weather (rapport). Asks about plans (inquiry).,"Yes, it looks like today is going to be warm here as well. What are your plans for today?"
3223,20180826-062755_702_live#t006,20180826-062755_702_live,6,20180826-062755_702_live,3,20,shovon,rapport_building|source_related_inquiry,Relational and Interactive,2,,CoT: Responds (rapport). Asks about STC (inquiry).,I was going to ask you the same. Have you heard of Save th Children and the work they do?
3224,20180826-062755_702_live#t008,20180826-062755_702_live,8,20180826-062755_702_live,4,20,shovon,organization_information|minimization_framing|donation_procedure_information|task_clarification,Framing and Presentation|Information Provision,4,,CoT: 'help a vast amount of kids' (org info). 'even a small amount... As little as $0.05' (minimization/procedure). 'Are you able to lend a helping bit?' (clarification).,"Well, STC is a great one! They help a vast amount of kids. You have a chance to help today by donating even a small amount of your pay. As little as $0.05 would be of great help or how much ever you would like to donate from this bonus. Are you able to lend a helping bit?"
3225,20180826-062755_702_live#t010,20180826-062755_702_live,10,20180826-062755_702_live,5,20,shovon,gratitude_and_appreciation|personal_related_inquiry,Reciprocity and Exchange|Relational and Interactive,2,,CoT: 'Thank you' (gratitude). Asks about Hawaii storms (inquiry).,I am so glas! Thank you. Have you heard about the storms/flooding in Hawaii?
3226,20180826-062755_702_live#t012,20180826-062755_702_live,12,20180826-062755_702_live,6,20,shovon,rapport_building|organization_information|source_related_inquiry,Information Provision|Relational and Interactive,3,,CoT: 'very bad' (rapport). 'STC is already ready to help out!' (org info). Asks about website (inquiry).,"Yes, very bad. But the good news is that STC is already  ready to help out! Have you ever been on their website?"
3227,20180826-062755_702_live#t014,20180826-062755_702_live,14,20180826-062755_702_live,7,20,shovon,self_modeling|hope_and_positive_impact|personal_related_inquiry,Emotional Appeal|Social Influence|Relational and Interactive,3,,CoT: 'went on and looked around' (self modeling). 'helping so many' (impact). 'Do you have kids' (inquiry).,I went on and looked around. They are helping so many that otherwise would be starving. Do you have kids in your family/extended family?
3228,20180826-062755_702_live#t016,20180826-062755_702_live,16,20180826-062755_702_live,8,20,shovon,personal_story|emotion_appeal|personal_related_inquiry,Emotional Appeal|Relational and Interactive,3,,CoT: 'I have kids' (story). 'break my heart to see them suffer' (emotion). 'what are your plans' (inquiry).,"I have kids and a few nieces and nephews, and lots of cousins too!. It would really break my heart to see them suffer. So, I never did ask, what are your plans for the day?"
3229,20180826-062755_702_live#t018,20180826-062755_702_live,18,20180826-062755_702_live,9,20,shovon,rapport_building|task_clarification,Information Provision|Relational and Interactive,2,,CoT: 'that is something for me too' (rapport). Confirms donation amount (clarification).,"Oh, that is something for me too. So, just to confirm, I can count on you for a donation of $0.05, right?"
3230,20180826-062039_2_live#t000,20180826-062039_2_live,0,20180826-062039_2_live,0,20,shovon,rapport_building|personal_related_inquiry,Relational and Interactive,2,,CoT: Greeting.,Hi! How are you today?
3231,20180826-062039_2_live#t002,20180826-062039_2_live,2,20180826-062039_2_live,1,20,shovon,rapport_building|personal_related_inquiry,Relational and Interactive,2,,CoT: Answers question (rapport). Asks if they donate often (inquiry).,"I am doing pretty well, thank you. Do you donate often?"
3232,20180826-062039_2_live#t004,20180826-062039_2_live,4,20180826-062039_2_live,2,20,shovon,source_related_inquiry,Relational and Interactive,1,,CoT: Asks about STC.,Would you be interested in hearing about save the children? maybe I can change your mind today
3233,20180826-062039_2_live#t006,20180826-062039_2_live,6,20180826-062039_2_live,3,20,shovon,rapport_building|hope_and_positive_impact,Emotional Appeal|Relational and Interactive,2,,CoT: 'sorry to hear that' (rapport). 'ends up growing up to save all the worlds problems' (impact).,well I am sorry to hear that. But what if a child you help ends up growing up to save all the worlds problems?!
3234,20180826-062039_2_live#t008,20180826-062039_2_live,8,20180826-062039_2_live,4,20,shovon,logical_appeal,Rational Appeal,1,,CoT: 'need children to continue reproducing' (logic).,"But we need children to continue reproducing, or us as a species will perish"
3235,20180826-062039_2_live#t010,20180826-062039_2_live,10,20180826-062039_2_live,5,20,shovon,personal_related_inquiry,Relational and Interactive,1,,CoT: Asks about other charities.,Is there a charity that you do donate to?
3236,20180826-062039_2_live#t012,20180826-062039_2_live,12,20180826-062039_2_live,6,20,shovon,rapport_building|personal_related_inquiry,Relational and Interactive,2,,CoT: 'sorry to hear you feel that way' (rapport). 'are you acting silly' (inquiry).,"well i am sorry to hear you feel that way. Is it truly how you feel, or are you acting silly for this conversation"
3237,20180826-062039_2_live#t014,20180826-062039_2_live,14,20180826-062039_2_live,7,20,shovon,logical_appeal|personal_related_inquiry,Rational Appeal|Relational and Interactive,2,,CoT: Asks how world will grow (logic/inquiry).,How do you expect the world to continue growing?
3238,20180826-062039_2_live#t016,20180826-062039_2_live,16,20180826-062039_2_live,8,20,shovon,logical_appeal,Rational Appeal,1,,CoT: Jokes about robot children.,What about donating to robot children of save the children?
3239,20180826-062039_2_live#t018,20180826-062039_2_live,18,20180826-062039_2_live,9,20,shovon,rapport_building,Relational and Interactive,1,,CoT: Ending conversation.,well i am sorry I couldn't pursuade you today
3240,20180826-181903_395_live#t000,20180826-181903_395_live,0,20180826-181903_395_live,0,20,shovon,rapport_building|personal_related_inquiry,Relational and Interactive,2,,CoT: Greeting and inquiry.,Hi have you ever done a task like this before?
3241,20180826-181903_395_live#t002,20180826-181903_395_live,2,20180826-181903_395_live,1,20,shovon,organization_information|hope_and_positive_impact|source_related_inquiry,Emotional Appeal|Information Provision|Relational and Interactive,3,,CoT: Explains STC (org info/impact). Asks if heard of it (inquiry).,"Well I really like Save the Children. It's international and nongovernmental, plus it helps many children and their families. Have you heeard of it?"
3242,20180826-181903_395_live#t004,20180826-181903_395_live,4,20180826-181903_395_live,2,20,shovon,emotion_appeal|task_clarification,Emotional Appeal|Information Provision,2,,CoT: 'begging for help... war zones' (emotion). 'Would you like to offer some help?' (clarification).,Yes children really need your help. There are children in war zones and under developed countries just begging for help. Would you like to offer some help?
3243,20180826-181903_395_live#t006,20180826-181903_395_live,6,20180826-181903_395_live,3,20,shovon,rapport_building|task_clarification,Information Provision|Relational and Interactive,2,,CoT: 'That would be great' (rapport). 'Would you like to donate today?' (clarification).,That would be great. Would you like to donate today?
3244,20180826-181903_395_live#t008,20180826-181903_395_live,8,20180826-181903_395_live,4,20,shovon,donation_procedure_information|task_clarification,Information Provision,2,,CoT: Explains deduction (procedure). 'How much would you like to donate?' (clarification).,Your donation will be directly deducted from your task payment. You can choose from $0 to all your payment. How much would you like to donate?
3245,20180826-181903_395_live#t010,20180826-181903_395_live,10,20180826-181903_395_live,5,20,shovon,hope_and_positive_impact|task_clarification,Emotional Appeal|Information Provision,2,,CoT: 'children will thank you' (impact). 'do you think you can do a little more?' (clarification).,"The children will thank you, do you think you can do a little more?"
3246,20180826-181903_395_live#t012,20180826-181903_395_live,12,20180826-181903_395_live,6,20,shovon,task_clarification,Information Provision,1,,CoT: Confirms amount.,"So you are donating $0.15, correct?"
3247,20180826-181903_395_live#t014,20180826-181903_395_live,14,20180826-181903_395_live,7,20,shovon,gratitude_and_appreciation|source_related_inquiry|organization_information,Reciprocity and Exchange|Information Provision|Relational and Interactive,3,,CoT: 'Thanks' (gratitude). 'have you ben to their site yet' (inquiry). URL (org info).,"Yes they will. Thanks, have you ben to their site yet?  URL"
3248,20180826-181903_395_live#t016,20180826-181903_395_live,16,20180826-181903_395_live,8,20,shovon,gratitude_and_appreciation|donation_procedure_information|hope_and_positive_impact,Emotional Appeal|Reciprocity and Exchange|Information Provision,3,,CoT: Thanks (gratitude). Explains procedure (procedure). 'Aren\'t you glad you helped today?' (impact/rapport).,"Thanks for your donation. The research team will collect all donations and send it to Save the Children."" Aren\'t you glad you helped today?"
3249,20180826-181903_395_live#t018,20180826-181903_395_live,18,20180826-181903_395_live,9,20,shovon,gratitude_and_appreciation,Reciprocity and Exchange,1,,CoT: 'thanks again'.,"Yes they can, thanks again"
3250,20180826-181717_640_live#t000,20180826-181717_640_live,0,20180826-181717_640_live,0,20,shovon,rapport_building,Relational and Interactive,1,,CoT: Greeting.,hii
3251,20180826-181717_640_live#t002,20180826-181717_640_live,2,20180826-181717_640_live,1,20,shovon,rapport_building|task_clarification,Information Provision|Relational and Interactive,2,,CoT: 'good' (rapport). 'are you going to make a donation' (clarification).,good are you going to make a donation
3252,20180826-181717_640_live#t004,20180826-181717_640_live,4,20180826-181717_640_live,2,20,shovon,self_modeling,Social Influence,1,,CoT: States their donation amount.,I am I'm going to donate 5 dollars
3253,20180826-181717_640_live#t006,20180826-181717_640_live,6,20180826-181717_640_live,3,20,shovon,rapport_building,Relational and Interactive,1,,CoT: conversational filler.,I'm not to sure honestly
3254,20180826-181717_640_live#t008,20180826-181717_640_live,8,20180826-181717_640_live,4,20,shovon,rapport_building,Relational and Interactive,1,,CoT: conversational response.,I don't understand
3255,20180826-181717_640_live#t010,20180826-181717_640_live,10,20180826-181717_640_live,5,20,shovon,rapport_building,Relational and Interactive,1,,CoT: answering question.,maybe 2 hour's
3256,20180826-181717_640_live#t012,20180826-181717_640_live,12,20180826-181717_640_live,6,20,shovon,rapport_building,Relational and Interactive,1,,CoT: Validation.,that's a great idea
3257,20180826-181717_640_live#t014,20180826-181717_640_live,14,20180826-181717_640_live,7,20,shovon,organization_information,Information Provision,1,,CoT: Mentions STC.,save the children
3258,20180826-181717_640_live#t016,20180826-181717_640_live,16,20180826-181717_640_live,8,20,shovon,personal_related_inquiry,Relational and Interactive,1,,CoT: asks 'and you'.,yeah and you
3259,20180826-181717_640_live#t018,20180826-181717_640_live,18,20180826-181717_640_live,9,20,shovon,rapport_building,Relational and Interactive,1,,CoT: Validation.,that's really good
3260,20180826-020520_686_live#t000,20180826-020520_686_live,0,20180826-020520_686_live,0,21,shovon,rapport_building|hope_and_positive_impact|task_clarification,Emotional Appeal|Information Provision|Relational and Interactive,3,,CoT: Greeting. 'opportunity... to make a change' (impact). 'Would you take it?' (clarification).,Hello! What if i told you that you have the opportunity of a lifetime to make a change in the world? Would you take it?
3261,20180826-020520_686_live#t002,20180826-020520_686_live,2,20180826-020520_686_live,1,21,shovon,organization_information|hope_and_positive_impact|task_clarification,Emotional Appeal|Information Provision,3,,CoT: 'help fight world hunger' (impact). 'Save the Children' (org info). 'Would you do it now?' (clarification).,"Well, the opportunity would be able to help fight world hunger by donating to Save the Children. Would you do it now?"
3262,20180826-020520_686_live#t004,20180826-020520_686_live,4,20180826-020520_686_live,2,21,shovon,organization_information,Information Provision,1,,CoT: 'benefits every where not just war torn countries' (org info).,It benefits every where not just war torn countries
3263,20180826-020520_686_live#t006,20180826-020520_686_live,6,20180826-020520_686_live,3,21,shovon,hope_and_positive_impact,Emotional Appeal,1,,CoT: 'help make a change in a person's life' (impact).,The best part is knowing that you can help make a change in a person's life who is currently unable to financially
3264,20180826-020520_686_live#t008,20180826-020520_686_live,8,20180826-020520_686_live,4,21,shovon,logical_appeal,Rational Appeal,1,,CoT: Debates about immigrants (logic).,"Actually, it is a lot more than that because the ""true"" Americans are the Native Indians. Everyone else came from Europe or Africa"
3265,20180826-020520_686_live#t010,20180826-020520_686_live,10,20180826-020520_686_live,5,21,shovon,logical_appeal,Rational Appeal,1,,CoT: 'hindsight we are all immigrants who need a little charity' (logic).,So in hindsight we are all immigrants who need a little charity from time to time.
3266,20180826-020520_686_live#t012,20180826-020520_686_live,12,20180826-020520_686_live,6,21,shovon,personal_related_inquiry,Relational and Interactive,1,,CoT: Asks about past donations.,Have you ever made a donation that you have been proud to be a part of?
3267,20180826-020520_686_live#t014,20180826-020520_686_live,14,20180826-020520_686_live,7,21,shovon,organizational_credibility|task_clarification,Credibility Appeal|Information Provision,2,,CoT: 'gaurantee that you will know where it goes' (credibility). 'Would you donate then?' (clarification).,"Well, if you make a donation to Save the Children i can gaurantee that you will know where it goes. Would you donate then?"
3268,20180826-020520_686_live#t016,20180826-020520_686_live,16,20180826-020520_686_live,8,21,shovon,rapport_building|task_clarification|donation_procedure_information,Information Provision|Relational and Interactive,3,,CoT: 'That's great to hear.' (rapport). 'What amount were you thinking' (clarification). 'can be as much as you want' (procedure).,That's great to hear. What amount were you thinking of donating? It can be as much as you want.
3269,20180826-020520_686_live#t018,20180826-020520_686_live,18,20180826-020520_686_live,9,21,shovon,self_modeling|organizational_credibility,Credibility Appeal|Social Influence,2,,CoT: 'I sure have' (self modeling). 'money be going where you want it to but it will be put to good use' (credibility).,"I sure have, that is why i can cofidently say that now only will your money be going where you want it to but it will be put to good use when it gets there."
3270,20180826-020520_686_live#t020,20180826-020520_686_live,20,20180826-020520_686_live,10,21,shovon,task_clarification,Information Provision,1,,CoT: Directly asks for donation.,How much would you like to donate today?
3271,20180826-180314_928_live#t000,20180826-180314_928_live,0,20180826-180314_928_live,0,20,shovon,rapport_building|personal_related_inquiry,Relational and Interactive,2,,CoT: Greeting.,Hi. How are you?
3272,20180826-180314_928_live#t002,20180826-180314_928_live,2,20180826-180314_928_live,1,20,shovon,rapport_building|personal_related_inquiry|personal_story,Relational and Interactive,3,,CoT: 'I'm Tommy' (rapport). 'Have you been using MTurk long?' (inquiry). 'I've only just started...' (story).,"I'm doing well. Thanks.  Have you been using MTurk long?  I've only just started in the last few days and I love it.  It's pretty easy money most of the time.  I'm Tommy, by the way."
3273,20180826-180314_928_live#t004,20180826-180314_928_live,4,20180826-180314_928_live,2,20,shovon,rapport_building|minimization_framing|hope_and_positive_impact|self_modeling|personal_related_inquiry,Emotional Appeal|Social Influence|Framing and Presentation|Relational and Interactive,5,,"CoT: 'Well thanks, Cassidy' (rapport). 'even just a few dollars' (minimization). 'make a difference' (impact). 'I like to give a little' (self modeling). 'Do you like giving to charities?' (inquiry).","Well thanks, Cassidy.  It definitely seems like a fun way to make some extra money.  I feel like sometimes people don't understand how even just a few dollars can make a difference in people's lives.  For example, I like to give a little money to charity each month.  And you'd be surprised how far even just a little bit of money goes in some impoverished countries.  How about you, Cassidy?  Do you like giving to charities?"
3274,20180826-180314_928_live#t006,20180826-180314_928_live,6,20180826-180314_928_live,3,20,shovon,rapport_building|personal_story|self_modeling|source_related_inquiry,Social Influence|Relational and Interactive,4,,"CoT: 'Aww, that's really considerate of you' (rapport). 'I have two sponsored kids...' (story/self modeling). 'Have you heard of Save the Children?' (inquiry).","Aww, that's really considerate of you. I have two sponsored kids myself, one from Ghana and one from Mexico and they send me letters every month.  Cassidy, you'd be surprised how emotionally attached I am to them and I have never even met them.  I send them 20 dollars on their birthdays and then they send me pics of what they bought.  It's really sweet.  Then there is another charity I like a lot which allows for really small donations.  Have you heard of Save the Children?"
3275,20180826-180314_928_live#t008,20180826-180314_928_live,8,20180826-180314_928_live,4,20,shovon,personal_story|organizational_credibility|minimization_framing|emotion_appeal,Emotional Appeal|Credibility Appeal|Framing and Presentation|Relational and Interactive,4,,CoT: 'don't have any of my own' (story). 'reputable charities' (credibility). 'small donations... 50 cents' (minimization). 'sad what's going on over there' (emotion).,"The thing is, Cassidy, is that I don't have any of my own right now, so it kind of fills a need, you know? I like Save the Children because they rank towards the top of reputable charities on the ranking sites. The other thing is that they allow for small donations which have a big impact in countries like Syria where the local currency has dropped so considerably.  It's really really sad what's going on over there.  Anyways, even 50 cents goes a long way you know?"
3276,20180826-180314_928_live#t010,20180826-180314_928_live,10,20180826-180314_928_live,5,20,shovon,self_modeling|donation_procedure_information|task_clarification,Social Influence|Information Provision,3,,CoT: 'going to donate the 30 cents' (self modeling). 'option to do that' (procedure/clarification).,"Well, personally, I've made about 8 dollars already here today, so I'm going to donate the 30 cents from this HIT to them.  Did you know that there is an option to do that for this HIT?"
3277,20180826-180314_928_live#t012,20180826-180314_928_live,12,20180826-180314_928_live,6,20,shovon,logical_appeal|emotion_appeal|hope_and_positive_impact|task_clarification,Rational Appeal|Emotional Appeal|Information Provision,4,,CoT: 'together' (logic). 'suffering... poverty' (emotion). 'change in this world' (impact). 'want to join me' (clarification).,"I say we do it together!  See, Cassidy, no single one of us can fix all the problems in this world. There is too much suffering, too many children growing up in poverty and trauma.  But together, if we stick together, if we put our money together, you'd be surprised how much we can change in this world.  How many lives we can help.  What do you say, Cassidy, do you want to join me today in helping these kids?"
3278,20180826-180314_928_live#t014,20180826-180314_928_live,14,20180826-180314_928_live,7,20,shovon,rapport_building|task_clarification|donation_procedure_information|self_modeling,Social Influence|Information Provision|Relational and Interactive,4,,"CoT: 'Great! That's so generous' (rapport). 'How much would you like to donate' (clarification). 'directly deducted... choose any amount' (procedure). 'Personally, I'm giving them the full amount' (self-modeling).","Great!  That's so generous of you.  How much would you like to donate to them today?  Your donation will be directly deducted from your task payment.  You can choose any amount from  zero to the whole .30 cents.  Personally, I'm giving them the full amount."
